Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
0.000000000,1,1,1,0,1
0.000002100,1,1,1,0,0
0.000008000,1,1,1,0,1
0.000014000,1,1,1,0,0
0.000020000,1,1,1,0,1
0.000026000,1,1,1,0,0
0.000031900,1,1,1,0,1
0.000037900,1,1,1,0,0
0.000043900,1,1,1,0,1
0.000049800,1,1,1,0,0
0.000055800,1,1,1,0,1
0.000061700,1,1,1,0,0
0.000067600,1,1,1,0,1
0.000073600,1,1,1,0,0
0.000079500,1,1,1,0,1
0.000085400,1,1,1,0,0
0.000091300,1,1,1,0,1
0.000097200,1,1,1,0,0
0.000103100,1,1,1,0,1
0.000109000,1,1,1,0,0
0.000114900,1,1,1,0,1
0.000120800,1,1,1,0,0
0.000126700,1,1,1,0,1
0.000132600,1,1,1,0,0
0.000138500,1,1,1,0,1
0.000144300,1,1,1,0,0
0.000150200,1,1,1,0,1
0.000156000,1,1,1,0,0
0.000161900,1,1,1,0,1
0.000167800,1,1,1,0,0
0.000173600,1,1,1,0,1
0.000179400,1,1,1,0,0
0.000185300,1,1,1,0,1
0.000191100,1,1,1,0,0
0.000196900,1,1,1,0,1
0.000202800,1,1,1,0,0
0.000208600,1,1,1,0,1
0.000214400,1,1,1,0,0
0.000220200,1,1,1,0,1
0.000226000,1,1,1,0,0
0.000231800,1,1,1,0,1
0.000237600,1,1,1,0,0
0.000243400,1,1,1,0,1
0.000249200,1,1,1,0,0
0.000254900,1,1,1,0,1
0.000260700,1,1,1,0,0
0.000266500,1,1,1,0,1
0.000272300,1,1,1,0,0
0.000278000,1,1,1,0,1
0.000283800,1,1,1,0,0
0.000289500,1,1,1,0,1
0.000295300,1,1,1,0,0
0.000301000,1,1,1,0,1
0.000306800,1,1,1,0,0
0.000312500,1,1,1,0,1
0.000318200,1,1,1,0,0
0.000323900,1,1,1,0,1
0.000329700,1,1,1,0,0
0.000335400,1,1,1,0,1
0.000341100,1,1,1,0,0
0.000346800,1,1,1,0,1
0.000352500,1,1,1,0,0
0.000358200,1,1,1,0,1
0.000363900,1,1,1,0,0
0.000369600,1,1,1,0,1
0.000375300,1,1,1,0,0
0.000381000,1,1,1,0,1
0.000386600,1,1,1,0,0
0.000392300,1,1,1,0,1
0.000398000,1,1,1,0,0
0.000403700,1,1,1,0,1
0.000409300,1,1,1,0,0
0.000415000,1,1,1,0,1
0.000420600,1,1,1,0,0
0.000426300,1,1,1,0,1
0.000431900,1,1,1,0,0
0.000437600,1,1,1,0,1
0.000443200,1,1,1,0,0
0.000448800,1,1,1,0,1
0.000454500,1,1,1,0,0
0.000460100,1,1,1,0,1
0.000465700,1,1,1,0,0
0.000471300,1,1,1,0,1
0.000476900,1,1,1,0,0
0.000482500,1,1,1,0,1
0.000488200,1,1,1,0,0
0.000493800,1,1,1,0,1
0.000499400,1,1,1,0,0
0.000504900,1,1,1,0,1
0.000510500,1,1,1,0,0
0.000516100,1,1,1,0,1
0.000521700,1,1,1,0,0
0.000527300,1,1,1,0,1
0.000532900,1,1,1,0,0
0.000538400,1,1,1,0,1
0.000544000,1,1,1,0,0
0.000549600,1,1,1,0,1
0.000555100,1,1,1,0,0
0.000560700,1,1,1,0,1
0.000566200,1,1,1,0,0
0.000571800,1,1,1,0,1
0.000577300,1,1,1,0,0
0.000582900,1,1,1,0,1
0.000588400,1,1,1,0,0
0.000593900,1,1,1,0,1
0.000599500,1,1,1,0,0
0.000605000,1,1,1,0,1
0.000610500,1,1,1,0,0
0.000616000,1,1,1,0,1
0.000621500,1,1,1,0,0
0.000627000,1,1,1,0,1
0.000632600,1,1,1,0,0
0.000638100,1,1,1,0,1
0.000643600,1,1,1,0,0
0.000649100,1,1,1,0,1
0.000654500,1,1,1,0,0
0.000660000,1,1,1,0,1
0.000665500,1,1,1,0,0
0.000671000,1,1,1,0,1
0.000676500,1,1,1,0,0
0.000682000,1,1,1,0,1
0.000687400,1,1,1,0,0
0.000692900,1,1,1,0,1
0.000698400,1,1,1,0,0
0.000703800,1,1,1,0,1
0.000709300,1,1,1,0,0
0.000714800,1,1,1,0,1
0.000720200,1,1,1,0,0
0.000725700,1,1,1,0,1
0.000731100,1,1,1,0,0
0.000736500,1,1,1,0,1
0.000742000,1,1,1,0,0
0.000747400,1,1,1,0,1
0.000752900,1,1,1,0,0
0.000758300,1,1,1,0,1
0.000763700,1,1,1,0,0
0.000769100,1,1,1,0,1
0.000774600,1,1,1,0,0
0.000780000,1,1,1,0,1
0.000785400,1,1,1,0,0
0.000790800,1,1,1,0,1
0.000796200,1,1,1,0,0
0.000801600,1,1,1,0,1
0.000807000,1,1,1,0,0
0.000812400,1,1,1,0,1
0.000817800,1,1,1,0,0
0.000823200,1,1,1,0,1
0.000828600,1,1,1,0,0
0.000834000,1,1,1,0,1
0.000839400,1,1,1,0,0
0.000844800,1,1,1,0,1
0.000850100,1,1,1,0,0
0.000855500,1,1,1,0,1
0.000860900,1,1,1,0,0
0.000866200,1,1,1,0,1
0.000871600,1,1,1,0,0
0.000877000,1,1,1,0,1
0.000882300,1,1,1,0,0
0.000887700,1,1,1,0,1
0.000893000,1,1,1,0,0
0.000898400,1,1,1,0,1
0.000903700,1,1,1,0,0
0.000909100,1,1,1,0,1
0.000914400,1,1,1,0,0
0.000919800,1,1,1,0,1
0.000925100,1,1,1,0,0
0.000930400,1,1,1,0,1
0.000935800,1,1,1,0,0
0.000941100,1,1,1,0,1
0.000946400,1,1,1,0,0
0.000951800,1,1,1,0,1
0.000957100,1,1,1,0,0
0.000962400,1,1,1,0,1
0.000967700,1,1,1,0,0
0.000973000,1,1,1,0,1
0.000978300,1,1,1,0,0
0.000983600,1,1,1,0,1
0.000988900,1,1,1,0,0
0.000994300,1,1,1,0,1
0.000999500,1,1,1,0,0
0.001004900,1,1,1,0,1
0.001010100,1,1,1,0,0
0.001015400,1,1,1,0,1
0.001020700,1,1,1,0,0
0.001026000,1,1,1,0,1
0.001031300,1,1,1,0,0
0.001036600,1,1,1,0,1
0.001041900,1,1,1,0,0
0.001047100,1,1,1,0,1
0.001052400,1,1,1,0,0
0.001057700,1,1,1,0,1
0.001062900,1,1,1,0,0
0.001068200,1,1,1,0,1
0.001073500,1,1,1,0,0
0.001078700,1,1,1,0,1
0.001084000,1,1,1,0,0
0.001089300,1,1,1,0,1
0.001094500,1,1,1,0,0
0.001099800,1,1,1,0,1
0.001105000,1,1,1,0,0
0.001110300,1,1,1,0,1
0.001115500,1,1,1,0,0
0.001120800,1,1,1,0,1
0.001126000,1,1,1,0,0
0.001131200,1,1,1,0,1
0.001136500,1,1,1,0,0
0.001141700,1,1,1,0,1
0.001146900,1,1,1,0,0
0.001152200,1,1,1,0,1
0.001157400,1,1,1,0,0
0.001162600,1,1,1,0,1
0.001167800,1,1,1,0,0
0.001173100,1,1,1,0,1
0.001178300,1,1,1,0,0
0.001183500,1,1,1,0,1
0.001188700,1,1,1,0,0
0.001193900,1,1,1,0,1
0.001199100,1,1,1,0,0
0.001204300,1,1,1,0,1
0.001209500,1,1,1,0,0
0.001214700,1,1,1,0,1
0.001219900,1,1,1,0,0
0.001225100,1,1,1,0,1
0.001230300,1,1,1,0,0
0.001235500,1,1,1,0,1
0.001240700,1,1,1,0,0
0.001245900,1,1,1,0,1
0.001251100,1,1,1,0,0
0.001256300,1,1,1,0,1
0.001261500,1,1,1,0,0
0.001266700,1,1,1,0,1
0.001271800,1,1,1,0,0
0.001277000,1,1,1,0,1
0.001282200,1,1,1,0,0
0.001287400,1,1,1,0,1
0.001292500,1,1,1,0,0
0.001297700,1,1,1,0,1
0.001302900,1,1,1,0,0
0.001308100,1,1,1,0,1
0.001313200,1,1,1,0,0
0.001318400,1,1,1,0,1
0.001323500,1,1,1,0,0
0.001328700,1,1,1,0,1
0.001333900,1,1,1,0,0
0.001339000,1,1,1,0,1
0.001344200,1,1,1,0,0
0.001349300,1,1,1,0,1
0.001354500,1,1,1,0,0
0.001359600,1,1,1,0,1
0.001364800,1,1,1,0,0
0.001369900,1,1,1,0,1
0.001375100,1,1,1,0,0
0.001380200,1,1,1,0,1
0.001385300,1,1,1,0,0
0.001390500,1,1,1,0,1
0.001395600,1,1,1,0,0
0.001400800,1,1,1,0,1
0.001405900,1,1,1,0,0
0.001411000,1,1,1,0,1
0.001416200,1,1,1,0,0
0.001421300,1,1,1,0,1
0.001426400,1,1,1,0,0
0.001431500,1,1,1,0,1
0.001436700,1,1,1,0,0
0.001441800,1,1,1,0,1
0.001446900,1,1,1,0,0
0.001452000,1,1,1,0,1
0.001457100,1,1,1,0,0
0.001462300,1,1,1,0,1
0.001467400,1,1,1,0,0
0.001472500,1,1,1,0,1
0.001477600,1,1,1,0,0
0.001482700,1,1,1,0,1
0.001487800,1,1,1,0,0
0.001492900,1,1,1,0,1
0.001498000,1,1,1,0,0
0.001503100,1,1,1,0,1
0.001508200,1,1,1,0,0
0.001513300,1,1,1,0,1
0.001518400,1,1,1,0,0
0.001523500,1,1,1,0,1
0.001528600,1,1,1,0,0
0.001533700,1,1,1,0,1
0.001538800,1,1,1,0,0
0.001543900,1,1,1,0,1
0.001549000,1,1,1,0,0
0.001554100,1,1,1,0,1
0.001559200,1,1,1,0,0
0.001564300,1,1,1,0,1
0.001569300,1,1,1,0,0
0.001574400,1,1,1,0,1
0.001579500,1,1,1,0,0
0.001584600,1,1,1,0,1
0.001589700,1,1,1,0,0
0.001594700,1,1,1,0,1
0.001599800,1,1,1,0,0
0.001604900,1,1,1,0,1
0.001610000,1,1,1,0,0
0.001615100,1,1,1,0,1
0.001620100,1,1,1,0,0
0.001625200,1,1,1,0,1
0.001630300,1,1,1,0,0
0.001635300,1,1,1,0,1
0.001635600,0,1,1,0,1
0.001640400,0,1,1,0,0
0.001645500,0,1,1,0,1
0.001650500,0,1,1,0,0
0.001655600,0,1,1,0,1
0.001660700,0,1,1,0,0
0.001665700,0,1,1,0,1
0.001670800,0,1,1,0,0
0.001675900,0,1,1,0,1
0.001680900,0,1,1,0,0
0.001686000,0,1,1,0,1
0.001691000,0,1,1,0,0
0.001696100,0,1,1,0,1
0.001701100,0,1,1,0,0
0.001706200,0,1,1,0,1
0.001711200,0,1,1,0,0
0.001716300,0,1,1,0,1
0.001721300,0,1,1,0,0
0.001726400,0,1,1,0,1
0.001731400,0,1,1,0,0
0.001736500,0,1,1,0,1
0.001741500,0,1,1,0,0
0.001746600,0,1,1,0,1
0.001751600,0,1,1,0,0
0.001756700,0,1,1,0,1
0.001761700,0,1,1,0,0
0.001766800,0,1,1,0,1
0.001771800,0,1,1,0,0
0.001776800,0,1,1,0,1
0.001781900,0,1,1,0,0
0.001786900,0,1,1,0,1
0.001791900,0,1,1,0,0
0.001797000,0,1,1,0,1
0.001802000,0,1,1,0,0
0.001807100,0,1,1,0,1
0.001812100,0,1,1,0,0
0.001817100,0,1,1,0,1
0.001822200,0,1,1,0,0
0.001827200,0,1,1,0,1
0.001832200,0,1,1,0,0
0.001837300,0,1,1,0,1
0.001842300,0,1,1,0,0
0.001847300,0,1,1,0,1
0.001852300,0,1,1,0,0
0.001857400,0,1,1,0,1
0.001862400,0,1,1,0,0
0.001867400,0,1,1,0,1
0.001872400,0,1,1,0,0
0.001877500,0,1,1,0,1
0.001878000,1,1,1,0,1
0.001878700,1,0,1,0,1
0.001882500,1,0,1,0,0
0.001887500,1,0,1,0,1
0.001892500,1,0,1,0,0
0.001897600,1,0,1,0,1
0.001902600,1,0,1,0,0
0.001907600,1,0,1,0,1
0.001912600,1,0,1,0,0
0.001917600,1,0,1,0,1
0.001922600,1,0,1,0,0
0.001927700,1,0,1,0,1
0.001932700,1,0,1,0,0
0.001937700,1,0,1,0,1
0.001942700,1,0,1,0,0
0.001947700,1,0,1,0,1
0.001952800,1,0,1,0,0
0.001957800,1,0,1,0,1
0.001962800,1,0,1,0,0
0.001967800,1,0,1,0,1
0.001972800,1,0,1,0,0
0.001977800,1,0,1,0,1
0.001982800,1,0,1,0,0
0.001987800,1,0,1,0,1
0.001992900,1,0,1,0,0
0.001997900,1,0,1,0,1
0.002002900,1,0,1,0,0
0.002007900,1,0,1,0,1
0.002012900,1,0,1,0,0
0.002017900,1,0,1,0,1
0.002018500,0,0,1,0,1
0.002022900,0,0,1,0,0
0.002027900,0,0,1,0,1
0.002032900,0,0,1,0,0
0.002037900,0,0,1,0,1
0.002042900,0,0,1,0,0
0.002047900,0,0,1,0,1
0.002053000,0,0,1,0,0
0.002058000,0,0,1,0,1
0.002063000,0,0,1,0,0
0.002068000,0,0,1,0,1
0.002073000,0,0,1,0,0
0.002078000,0,0,1,0,1
0.002083000,0,0,1,0,0
0.002088000,0,0,1,0,1
0.002093000,0,0,1,0,0
0.002098000,0,0,1,0,1
0.002103000,0,0,1,0,0
0.002108000,0,0,1,0,1
0.002113000,0,0,1,0,0
0.002118000,0,0,1,0,1
0.002123000,0,0,1,0,0
0.002128000,0,0,1,0,1
0.002133000,0,0,1,0,0
0.002138000,0,0,1,0,1
0.002143000,0,0,1,0,0
0.002148000,0,0,1,0,1
0.002153000,0,0,1,0,0
0.002158000,0,0,1,0,1
0.002163000,0,0,1,0,0
0.002168000,0,0,1,0,1
0.002173000,0,0,1,0,0
0.002178000,0,0,1,0,1
0.002183000,0,0,1,0,0
0.002188000,0,0,1,0,1
0.002188400,1,0,1,0,1
0.002189100,1,1,1,0,1
0.002189800,1,1,0,0,1
0.002193000,1,1,0,0,0
0.002198000,1,1,0,0,1
0.002203000,1,1,0,0,0
0.002208000,1,1,0,0,1
0.002213000,1,1,0,0,0
0.002218000,1,1,0,0,1
0.002223000,1,1,0,0,0
0.002228000,1,1,0,0,1
0.002233000,1,1,0,0,0
0.002238000,1,1,0,0,1
0.002243000,1,1,0,0,0
0.002248000,1,1,0,0,1
0.002253000,1,1,0,0,0
0.002258000,1,1,0,0,1
0.002263000,1,1,0,0,0
0.002268000,1,1,0,0,1
0.002273000,1,1,0,0,0
0.002278000,1,1,0,0,1
0.002283000,1,1,0,0,0
0.002288000,1,1,0,0,1
0.002293000,1,1,0,0,0
0.002298000,1,1,0,0,1
0.002303000,1,1,0,0,0
0.002308000,1,1,0,0,1
0.002308600,0,1,0,0,1
0.002313000,0,1,0,0,0
0.002318000,0,1,0,0,1
0.002323000,0,1,0,0,0
0.002328000,0,1,0,0,1
0.002333000,0,1,0,0,0
0.002338100,0,1,0,0,1
0.002343100,0,1,0,0,0
0.002348100,0,1,0,0,1
0.002353100,0,1,0,0,0
0.002358100,0,1,0,0,1
0.002363100,0,1,0,0,0
0.002368100,0,1,0,0,1
0.002373100,0,1,0,0,0
0.002378100,0,1,0,0,1
0.002383100,0,1,0,0,0
0.002388100,0,1,0,0,1
0.002393100,0,1,0,0,0
0.002398100,0,1,0,0,1
0.002403100,0,1,0,0,0
0.002408100,0,1,0,0,1
0.002413100,0,1,0,0,0
0.002418100,0,1,0,0,1
0.002423100,0,1,0,0,0
0.002428200,0,1,0,0,1
0.002433200,0,1,0,0,0
0.002438200,0,1,0,0,1
0.002443200,0,1,0,0,0
0.002448200,0,1,0,0,1
0.002453200,0,1,0,0,0
0.002458200,0,1,0,0,1
0.002458900,1,1,0,0,1
0.002459500,1,0,0,0,1
0.002463200,1,0,0,0,0
0.002468200,1,0,0,0,1
0.002473200,1,0,0,0,0
0.002478300,1,0,0,0,1
0.002483300,1,0,0,0,0
0.002488300,1,0,0,0,1
0.002493300,1,0,0,0,0
0.002498300,1,0,0,0,1
0.002503300,1,0,0,0,0
0.002508300,1,0,0,0,1
0.002513400,1,0,0,0,0
0.002518400,1,0,0,0,1
0.002523400,1,0,0,0,0
0.002528400,1,0,0,0,1
0.002533400,1,0,0,0,0
0.002538500,1,0,0,0,1
0.002543500,1,0,0,0,0
0.002548500,1,0,0,0,1
0.002553500,1,0,0,0,0
0.002558500,1,0,0,0,1
0.002563600,1,0,0,0,0
0.002568600,1,0,0,0,1
0.002573600,1,0,0,0,0
0.002578600,1,0,0,0,1
0.002583700,1,0,0,0,0
0.002588700,1,0,0,0,1
0.002593700,1,0,0,0,0
0.002598700,1,0,0,0,1
0.002603800,1,0,0,0,0
0.002608800,1,0,0,0,1
0.002613800,1,0,0,0,0
0.002618900,1,0,0,0,1
0.002623900,1,0,0,0,0
0.002628900,1,0,0,0,1
0.002634000,1,0,0,0,0
0.002639000,1,0,0,0,1
0.002644000,1,0,0,0,0
0.002649100,1,0,0,0,1
0.002654100,1,0,0,0,0
0.002659100,1,0,0,0,1
0.002664200,1,0,0,0,0
0.002669200,1,0,0,0,1
0.002674300,1,0,0,0,0
0.002679300,1,0,0,0,1
0.002684300,1,0,0,0,0
0.002689400,1,0,0,0,1
0.002694400,1,0,0,0,0
0.002699500,1,0,0,0,1
0.002704500,1,0,0,0,0
0.002709600,1,0,0,0,1
0.002714600,1,0,0,0,0
0.002719700,1,0,0,0,1
0.002724700,1,0,0,0,0
0.002729800,1,0,0,0,1
0.002734800,1,0,0,0,0
0.002739900,1,0,0,0,1
0.002744900,1,0,0,0,0
0.002750000,1,0,0,0,1
0.002755000,1,0,0,0,0
0.002760100,1,0,0,0,1
0.002765100,1,0,0,0,0
0.002770200,1,0,0,0,1
0.002775300,1,0,0,0,0
0.002780300,1,0,0,0,1
0.002785400,1,0,0,0,0
0.002790400,1,0,0,0,1
0.002795500,1,0,0,0,0
0.002800600,1,0,0,0,1
0.002805600,1,0,0,0,0
0.002810700,1,0,0,0,1
0.002815800,1,0,0,0,0
0.002820800,1,0,0,0,1
0.002825900,1,0,0,0,0
0.002831000,1,0,0,0,1
0.002836100,1,0,0,0,0
0.002841100,1,0,0,0,1
0.002846200,1,0,0,0,0
0.002851300,1,0,0,0,1
0.002856400,1,0,0,0,0
0.002861400,1,0,0,0,1
0.002866500,1,0,0,0,0
0.002871600,1,0,0,0,1
0.002876700,1,0,0,0,0
0.002881800,1,0,0,0,1
0.002886900,1,0,0,0,0
0.002892000,1,0,0,0,1
0.002897100,1,0,0,0,0
0.002902100,1,0,0,0,1
0.002907200,1,0,0,0,0
0.002912300,1,0,0,0,1
0.002917400,1,0,0,0,0
0.002922500,1,0,0,0,1
0.002927600,1,0,0,0,0
0.002932700,1,0,0,0,1
0.002937800,1,0,0,0,0
0.002942900,1,0,0,0,1
0.002948000,1,0,0,0,0
0.002953100,1,0,0,0,1
0.002958200,1,0,0,0,0
0.002963300,1,0,0,0,1
0.002968400,1,0,0,0,0
0.002973600,1,0,0,0,1
0.002978700,1,0,0,0,0
0.002983800,1,0,0,0,1
0.002988900,1,0,0,0,0
0.002994000,1,0,0,0,1
0.002999100,1,0,0,0,0
0.003004300,1,0,0,0,1
0.003009400,1,0,0,0,0
0.003014500,1,0,0,0,1
0.003019600,1,0,0,0,0
0.003024800,1,0,0,0,1
0.003029900,1,0,0,0,0
0.003035000,1,0,0,0,1
0.003040100,1,0,0,0,0
0.003045300,1,0,0,0,1
0.003050400,1,0,0,0,0
0.003055500,1,0,0,0,1
0.003060700,1,0,0,0,0
0.003065800,1,0,0,0,1
0.003071000,1,0,0,0,0
0.003076100,1,0,0,0,1
0.003081300,1,0,0,0,0
0.003086400,1,0,0,0,1
0.003091600,1,0,0,0,0
0.003096700,1,0,0,0,1
0.003101900,1,0,0,0,0
0.003107000,1,0,0,0,1
0.003112200,1,0,0,0,0
0.003117300,1,0,0,0,1
0.003122500,1,0,0,0,0
0.003127600,1,0,0,0,1
0.003132800,1,0,0,0,0
0.003138000,1,0,0,0,1
0.003143100,1,0,0,0,0
0.003148300,1,0,0,0,1
0.003153500,1,0,0,0,0
0.003158700,1,0,0,0,1
0.003163800,1,0,0,0,0
0.003169000,1,0,0,0,1
0.003174200,1,0,0,0,0
0.003179400,1,0,0,0,1
0.003184500,1,0,0,0,0
0.003189700,1,0,0,0,1
0.003194900,1,0,0,0,0
0.003200100,1,0,0,0,1
0.003205300,1,0,0,0,0
0.003210500,1,0,0,0,1
0.003215700,1,0,0,0,0
0.003220900,1,0,0,0,1
0.003226100,1,0,0,0,0
0.003231300,1,0,0,0,1
0.003236500,1,0,0,0,0
0.003241700,1,0,0,0,1
0.003246900,1,0,0,0,0
0.003252100,1,0,0,0,1
0.003257300,1,0,0,0,0
0.003262500,1,0,0,0,1
0.003267700,1,0,0,0,0
0.003273000,1,0,0,0,1
0.003278200,1,0,0,0,0
0.003283400,1,0,0,0,1
0.003288600,1,0,0,0,0
0.003293900,1,0,0,0,1
0.003299100,1,0,0,0,0
0.003304300,1,0,0,0,1
0.003309600,1,0,0,0,0
0.003314800,1,0,0,0,1
0.003320000,1,0,0,0,0
0.003325300,1,0,0,0,1
0.003330500,1,0,0,0,0
0.003335800,1,0,0,0,1
0.003341000,1,0,0,0,0
0.003346300,1,0,0,0,1
0.003351500,1,0,0,0,0
0.003356800,1,0,0,0,1
0.003362000,1,0,0,0,0
0.003367300,1,0,0,0,1
0.003372500,1,0,0,0,0
0.003377800,1,0,0,0,1
0.003383100,1,0,0,0,0
0.003388300,1,0,0,0,1
0.003393600,1,0,0,0,0
0.003398900,1,0,0,0,1
0.003404200,1,0,0,0,0
0.003409400,1,0,0,0,1
0.003414700,1,0,0,0,0
0.003420000,1,0,0,0,1
0.003425300,1,0,0,0,0
0.003430600,1,0,0,0,1
0.003435900,1,0,0,0,0
0.003441200,1,0,0,0,1
0.003446500,1,0,0,0,0
0.003451800,1,0,0,0,1
0.003457100,1,0,0,0,0
0.003462400,1,0,0,0,1
0.003467700,1,0,0,0,0
0.003473000,1,0,0,0,1
0.003478300,1,0,0,0,0
0.003483600,1,0,0,0,1
0.003488900,1,0,0,0,0
0.003494300,1,0,0,0,1
0.003499600,1,0,0,0,0
0.003504900,1,0,0,0,1
0.003510200,1,0,0,0,0
0.003515600,1,0,0,0,1
0.003520900,1,0,0,0,0
0.003526200,1,0,0,0,1
